fecha,marca,zona,cristal,precio,precio_ipc,precio_usd,instalacion,instalacion_ipc,instalacion_usd,ipc_empalme_ipim,var_precio_prom,var_instal_prom,var_ipc,var_ipc_%,var_precio_prom_%,var_instal_prom_%,tipo_cristal,ipc
2023-12-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,87128,342720,90,16962,66721,17,2816,,,,-,-,-,Cristales laterales y de techo,3.933527619
2024-02-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,91484,237796,84,18488,48058,17,4261,0.04999540905334676,0.0899658059191133,0.5132945188580311,51.33%,5.0%,9.0%,Cristales laterales y de techo,2.599313993
2024-03-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,96058,220492,95,20337,46683,20,4825,0.049997813825368276,0.1000108178277801,0.1324067605352477,13.24%,5.0%,10.0%,Cristales laterales y de techo,2.295388975
2024-05-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,100861,191630,90,22168,42118,19,5830,0.050001041037706306,0.09003294487879243,0.20813988910951164,20.81%,5.0%,9.0%,Cristales laterales y de techo,1.899936419
2024-07-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,103887,181174,73,23719,41366,16,6351,0.030001685487948793,0.06996571634788884,0.08944546945692733,8.94%,3.0%,7.0%,Cristales laterales y de techo,1.743948158
2024-10-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,103887,161573,86,26566,41318,22,7122,0.0,0.1200303554112736,0.12131017538650402,12.13%,0.0%,12.0%,Cristales laterales y de techo,1.555277207
2025-01-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,103887,149566,85,26566,38247,21,7694,0.0,0.0,0.08027884926854689,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.439699766
2025-04-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,107004,141894,84,28957,38399,22,8353,0.03000375407895106,0.09000225852593546,0.08569114339958728,8.57%,3.0%,9.0%,Cristales laterales y de techo,1.326067524
2025-08-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,107004,131349,83,28957,35545,22,9023,0.0,0.0,0.08028634569280846,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.227514843
2025-11-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,113424,130823,77,31853,36739,21,9603,0.05999775709319288,0.10001036018924614,0.06426097462835956,6.43%,6.0%,10.0%,Cristales laterales y de techo,1.153396462
2026-04-01,BMW,CAPITAL FEDERAL,Aleta/Ventilete,120229,120229,85,34401,34401,24,11077,0.05999612075045846,0.07999246538787563,0.153396462171266,15.34%,6.0%,8.0%,Cristales laterales y de techo,1.0
2023-12-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,36674,144261,37,16962,66721,17,2816,,,,-,-,-,Cristales laterales y de techo,3.933527619
2024-02-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,38508,100095,35,18488,48058,17,4261,0.05000818018214548,0.0899658059191133,0.5132945188580311,51.33%,5.0%,9.0%,Cristales laterales y de techo,2.599313993
2024-03-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,40434,92811,40,20337,46683,20,4825,0.05001558117793703,0.1000108178277801,0.1324067605352477,13.24%,5.0%,10.0%,Cristales laterales y de techo,2.295388975
2024-05-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,42931,81567,38,22168,42118,19,5830,0.06175495869812542,0.09003294487879243,0.20813988910951164,20.81%,6.18%,9.0%,Cristales laterales y de techo,1.899936419
2024-07-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,45076,78611,31,23719,41366,16,6351,0.049963895553329696,0.06996571634788884,0.08944546945692733,8.94%,5.0%,7.0%,Cristales laterales y de techo,1.743948158
2024-10-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,45817,71258,38,26566,41318,22,7122,0.016438903185730824,0.1200303554112736,0.12131017538650402,12.13%,1.64%,12.0%,Cristales laterales y de techo,1.555277207
2025-01-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,45817,65963,37,26566,38247,21,7694,0.0,0.0,0.08027884926854689,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.439699766
2025-04-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,45570,60429,36,28957,38399,22,8353,-0.005391012069755785,0.09000225852593546,0.08569114339958728,8.57%,-0.54%,9.0%,Cristales laterales y de techo,1.326067524
2025-08-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,44119,54157,34,28957,35545,22,9023,-0.03184112354619262,0.0,0.08028634569280846,8.03%,-3.18%,0.0%,Cristales laterales y de techo,1.227514843
2025-11-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,46767,53941,32,31853,36739,21,9603,0.06001949273555618,0.10001036018924614,0.06426097462835956,6.43%,6.0%,10.0%,Cristales laterales y de techo,1.153396462
2026-04-01,CHEVROLET,CAPITAL FEDERAL,Aleta/Ventilete,49573,49573,35,34401,34401,24,11077,0.05999957234802311,0.07999246538787563,0.153396462171266,15.34%,6.0%,8.0%,Cristales laterales y de techo,1.0
2023-12-01,CITROEN,CAPITAL FEDERAL,Aleta/Ventilete,69593,273747,72,16962,66721,17,2816,,,,-,-,-,Cristales laterales y de techo,3.933527619
2024-02-01,CITROEN,CAPITAL FEDERAL,Aleta/Ventilete,73072,189939,67,18488,48058,17,4261,0.04999065998017049,0.0899658059191133,0.5132945188580311,51.33%,5.0%,9.0%,Cristales laterales y de techo,2.599313993
2024-03-01,CITROEN,CAPITAL FEDERAL,Aleta/Ventilete,76726,176117,76,20337,46683,20,4825,0.05000547405298894,0.1000108178277801,0.1324067605352477,13.24%,5.0%,10.0%,Cristales laterales y de techo,2.295388975
2024-05-01,CITROEN,CAPITAL FEDERAL,Aleta/Ventilete,80562,153064,71,22168,42118,19,5830,0.04999608998253535,0.09003294487879243,0.20813988910951164,20.81%,5.0%,9.0%,Cristales laterales y de techo,1.899936419
2024-07-01,CITROEN,CAPITAL FEDERAL,Aleta/Ventilete,82979,144712,58,23719,41366,16,6351,0.030001737792011207,0.06996571634788884,0.08944546945692733,8.94%,3.0%,7.0%,Cristales laterales y de techo,1.743948158
2024-10-01,CITROEN,CAPITAL FEDERAL,Aleta/Ventilete,82979,129056,69,26566,41318,22,7122,0.0,0.1200303554112736,0.12131017538650402,12.13%,0.0%,12.0%,Cristales laterales y de techo,1.555277207
2025-01-01,CITROEN,CAPITAL FEDERAL,Aleta/Ventilete,82979,119466,68,26566,38247,21,7694,0.0,0.0,0.08027884926854689,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.439699766
2025-04-01,CITROEN,CAPITAL FEDERAL,Aleta/Ventilete,85469,113337,67,28957,38399,22,8353,0.03000759228238481,0.09000225852593546,0.08569114339958728,8.57%,3.0%,9.0%,Cristales laterales y de techo,1.326067524
2025-08-01,CITROEN,CAPITAL FEDERAL,Aleta/Ventilete,85469,104914,66,28957,35545,22,9023,0.0,0.0,0.08028634569280846,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.227514843
2025-11-01,CITROEN,CAPITAL FEDERAL,Aleta/Ventilete,90597,104494,62,31853,36739,21,9603,0.05999836197919706,0.10001036018924614,0.06426097462835956,6.43%,6.0%,10.0%,Cristales laterales y de techo,1.153396462
2026-04-01,CITROEN,CAPITAL FEDERAL,Aleta/Ventilete,96033,96033,68,34401,34401,24,11077,0.06000198682075575,0.07999246538787563,0.153396462171266,15.34%,6.0%,8.0%,Cristales laterales y de techo,1.0
2023-12-01,DAEWOO,CAPITAL FEDERAL,Aleta/Ventilete,20298,79844,21,16962,66721,17,2816,,,,-,-,-,Cristales laterales y de techo,3.933527619
2024-02-01,DAEWOO,CAPITAL FEDERAL,Aleta/Ventilete,21313,55400,19,18488,48058,17,4261,0.050004926593752996,0.0899658059191133,0.5132945188580311,51.33%,5.0%,9.0%,Cristales laterales y de techo,2.599313993
2024-03-01,DAEWOO,CAPITAL FEDERAL,Aleta/Ventilete,22378,51368,22,20337,46683,20,4825,0.04996950218176699,0.1000108178277801,0.1324067605352477,13.24%,5.0%,10.0%,Cristales laterales y de techo,2.295388975
2024-05-01,DAEWOO,CAPITAL FEDERAL,Aleta/Ventilete,23497,44644,20,22168,42118,19,5830,0.050004468674591074,0.09003294487879243,0.20813988910951164,20.81%,5.0%,9.0%,Cristales laterales y de techo,1.899936419
2024-07-01,DAEWOO,CAPITAL FEDERAL,Aleta/Ventilete,24202,42208,17,23719,41366,16,6351,0.030003830276205568,0.06996571634788884,0.08944546945692733,8.94%,3.0%,7.0%,Cristales laterales y de techo,1.743948158
2024-10-01,DAEWOO,CAPITAL FEDERAL,Aleta/Ventilete,24202,37642,20,26566,41318,22,7122,0.0,0.1200303554112736,0.12131017538650402,12.13%,0.0%,12.0%,Cristales laterales y de techo,1.555277207
2025-01-01,DAEWOO,CAPITAL FEDERAL,Aleta/Ventilete,24202,34844,19,26566,38247,21,7694,0.0,0.0,0.08027884926854689,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.439699766
2025-04-01,DAEWOO,CAPITAL FEDERAL,Aleta/Ventilete,24928,33057,19,28957,38399,22,8353,0.029997520866044125,0.09000225852593546,0.08569114339958728,8.57%,3.0%,9.0%,Cristales laterales y de techo,1.326067524
2025-08-01,DAEWOO,CAPITAL FEDERAL,Aleta/Ventilete,24928,30600,19,28957,35545,22,9023,0.0,0.0,0.08028634569280846,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.227514843
2025-11-01,DAEWOO,CAPITAL FEDERAL,Aleta/Ventilete,26424,30478,18,31853,36739,21,9603,0.06001283697047488,0.10001036018924614,0.06426097462835956,6.43%,6.0%,10.0%,Cristales laterales y de techo,1.153396462
2026-04-01,DAEWOO,CAPITAL FEDERAL,Aleta/Ventilete,28010,28010,19,34401,34401,24,11077,0.06002119285498031,0.07999246538787563,0.153396462171266,15.34%,6.0%,8.0%,Cristales laterales y de techo,1.0
2023-12-01,DODGE/CHRYSLER,CAPITAL FEDERAL,Aleta/Ventilete,175519,690409,181,16962,66721,17,2816,,,,-,-,-,Cristales laterales y de techo,3.933527619
2024-02-01,DODGE/CHRYSLER,CAPITAL FEDERAL,Aleta/Ventilete,184295,479040,170,18488,48058,17,4261,0.0500002848694443,0.0899658059191133,0.5132945188580311,51.33%,5.0%,9.0%,Cristales laterales y de techo,2.599313993
2024-03-01,DODGE/CHRYSLER,CAPITAL FEDERAL,Aleta/Ventilete,193509,444180,193,20337,46683,20,4825,0.049995930437613634,0.1000108178277801,0.1324067605352477,13.24%,5.0%,10.0%,Cristales laterales y de techo,2.295388975
2024-05-01,DODGE/CHRYSLER,CAPITAL FEDERAL,Aleta/Ventilete,203185,386039,181,22168,42118,19,5830,0.05000284224506357,0.09003294487879243,0.20813988910951164,20.81%,5.0%,9.0%,Cristales laterales y de techo,1.899936419
2024-07-01,DODGE/CHRYSLER,CAPITAL FEDERAL,Aleta/Ventilete,209280,364975,147,23719,41366,16,6351,0.02999729310726673,0.06996571634788884,0.08944546945692733,8.94%,3.0%,7.0%,Cristales laterales y de techo,1.743948158
2024-10-01,DODGE/CHRYSLER,CAPITAL FEDERAL,Aleta/Ventilete,209280,325489,174,26566,41318,22,7122,0.0,0.1200303554112736,0.12131017538650402,12.13%,0.0%,12.0%,Cristales laterales y de techo,1.555277207
2025-01-01,DODGE/CHRYSLER,CAPITAL FEDERAL,Aleta/Ventilete,209280,301301,171,26566,38247,21,7694,0.0,0.0,0.08027884926854689,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.439699766
2025-04-01,DODGE/CHRYSLER,CAPITAL FEDERAL,Aleta/Ventilete,215559,285846,170,28957,38399,22,8353,0.030002866972477005,0.09000225852593546,0.08569114339958728,8.57%,3.0%,9.0%,Cristales laterales y de techo,1.326067524
2025-08-01,DODGE/CHRYSLER,CAPITAL FEDERAL,Aleta/Ventilete,215559,264602,167,28957,35545,22,9023,0.0,0.0,0.08028634569280846,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.227514843
2025-11-01,DODGE/CHRYSLER,CAPITAL FEDERAL,Aleta/Ventilete,228492,263542,156,31853,36739,21,9603,0.05999749488539097,0.10001036018924614,0.06426097462835956,6.43%,6.0%,10.0%,Cristales laterales y de techo,1.153396462
2026-04-01,DODGE/CHRYSLER,CAPITAL FEDERAL,Aleta/Ventilete,242202,242202,171,34401,34401,24,11077,0.06000210073000378,0.07999246538787563,0.153396462171266,15.34%,6.0%,8.0%,Cristales laterales y de techo,1.0
2023-12-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,30109,118437,31,16962,66721,17,2816,,,,-,-,-,Cristales laterales y de techo,3.933527619
2024-02-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,31615,82178,29,18488,48058,17,4261,0.05001826696336642,0.0899658059191133,0.5132945188580311,51.33%,5.0%,9.0%,Cristales laterales y de techo,2.599313993
2024-03-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,33196,76197,33,20337,46683,20,4825,0.05000790763877916,0.1000108178277801,0.1324067605352477,13.24%,5.0%,10.0%,Cristales laterales y de techo,2.295388975
2024-05-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,35087,66663,31,22168,42118,19,5830,0.056964694541510985,0.09003294487879243,0.20813988910951164,20.81%,5.7%,9.0%,Cristales laterales y de techo,1.899936419
2024-07-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,36556,63752,25,23719,41366,16,6351,0.041867358280844647,0.06996571634788884,0.08944546945692733,8.94%,4.19%,7.0%,Cristales laterales y de techo,1.743948158
2024-10-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,36203,56306,30,26566,41318,22,7122,-0.009656417551154428,0.1200303554112736,0.12131017538650402,12.13%,-0.97%,12.0%,Cristales laterales y de techo,1.555277207
2025-01-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,41065,59122,33,26566,38247,21,7694,0.13429826257492472,0.0,0.08027884926854689,8.03%,13.43%,0.0%,Cristales laterales y de techo,1.439699766
2025-04-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,42035,55741,33,28957,38399,22,8353,0.023621088518202882,0.09000225852593546,0.08569114339958728,8.57%,2.36%,9.0%,Cristales laterales y de techo,1.326067524
2025-08-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,41792,51300,32,28957,35545,22,9023,-0.005780896871654617,0.0,0.08028634569280846,8.03%,-0.58%,0.0%,Cristales laterales y de techo,1.227514843
2025-11-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,44299,51094,30,31853,36739,21,9603,0.05998755742725881,0.10001036018924614,0.06426097462835956,6.43%,6.0%,10.0%,Cristales laterales y de techo,1.153396462
2026-04-01,FIAT,CAPITAL FEDERAL,Aleta/Ventilete,46957,46957,33,34401,34401,24,11077,0.06000135443237986,0.07999246538787563,0.153396462171266,15.34%,6.0%,8.0%,Cristales laterales y de techo,1.0
2023-12-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,36619,144042,37,16962,66721,17,2816,,,,-,-,-,Cristales laterales y de techo,3.933527619
2024-02-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,38450,99943,35,18488,48058,17,4261,0.050001365411398435,0.0899658059191133,0.5132945188580311,51.33%,5.0%,9.0%,Cristales laterales y de techo,2.599313993
2024-03-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,42994,98689,42,20337,46683,20,4825,0.11817945383615092,0.1000108178277801,0.1324067605352477,13.24%,11.82%,10.0%,Cristales laterales y de techo,2.295388975
2024-05-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,45144,85771,40,22168,42118,19,5830,0.050006977717821144,0.09003294487879243,0.20813988910951164,20.81%,5.0%,9.0%,Cristales laterales y de techo,1.899936419
2024-07-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,46498,81091,32,23719,41366,16,6351,0.029992911571858905,0.06996571634788884,0.08944546945692733,8.94%,3.0%,7.0%,Cristales laterales y de techo,1.743948158
2024-10-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,46498,72318,38,26566,41318,22,7122,0.0,0.1200303554112736,0.12131017538650402,12.13%,0.0%,12.0%,Cristales laterales y de techo,1.555277207
2025-01-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,49166,70785,40,26566,38247,21,7694,0.057378811991913636,0.0,0.08027884926854689,8.03%,5.74%,0.0%,Cristales laterales y de techo,1.439699766
2025-04-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,48025,63685,37,28957,38399,22,8353,-0.023207094333482448,0.09000225852593546,0.08569114339958728,8.57%,-2.32%,9.0%,Cristales laterales y de techo,1.326067524
2025-08-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,48025,58952,37,28957,35545,22,9023,0.0,0.0,0.08028634569280846,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.227514843
2025-11-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,50907,58716,34,31853,36739,21,9603,0.060010411244143747,0.10001036018924614,0.06426097462835956,6.43%,6.0%,10.0%,Cristales laterales y de techo,1.153396462
2026-04-01,FORD,CAPITAL FEDERAL,Aleta/Ventilete,53961,53961,38,34401,34401,24,11077,0.05999174966114684,0.07999246538787563,0.153396462171266,15.34%,6.0%,8.0%,Cristales laterales y de techo,1.0
2023-12-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,129746,510361,134,16962,66721,17,2816,,,,-,-,-,Cristales laterales y de techo,3.933527619
2024-02-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,136233,354114,125,18488,48058,17,4261,0.0499976877899897,0.0899658059191133,0.5132945188580311,51.33%,5.0%,9.0%,Cristales laterales y de techo,2.599313993
2024-03-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,143045,328345,142,20337,46683,20,4825,0.05000256912789114,0.1000108178277801,0.1324067605352477,13.24%,5.0%,10.0%,Cristales laterales y de techo,2.295388975
2024-05-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,150197,285366,134,22168,42118,19,5830,0.04999825229822785,0.09003294487879243,0.20813988910951164,20.81%,5.0%,9.0%,Cristales laterales y de techo,1.899936419
2024-07-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,154703,269795,109,23719,41366,16,6351,0.03000059921303344,0.06996571634788884,0.08944546945692733,8.94%,3.0%,7.0%,Cristales laterales y de techo,1.743948158
2024-10-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,154703,240607,128,26566,41318,22,7122,0.0,0.1200303554112736,0.12131017538650402,12.13%,0.0%,12.0%,Cristales laterales y de techo,1.555277207
2025-01-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,154703,222726,127,26566,38247,21,7694,0.0,0.0,0.08027884926854689,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.439699766
2025-04-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,159344,211301,126,28957,38399,22,8353,0.029999418240111764,0.09000225852593546,0.08569114339958728,8.57%,3.0%,9.0%,Cristales laterales y de techo,1.326067524
2025-08-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,159344,195598,124,28957,35545,22,9023,0.0,0.0,0.08028634569280846,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.227514843
2025-11-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,168905,194814,115,31853,36739,21,9603,0.06000225926297831,0.10001036018924614,0.06426097462835956,6.43%,6.0%,10.0%,Cristales laterales y de techo,1.153396462
2026-04-01,HONDA,CAPITAL FEDERAL,Aleta/Ventilete,179039,179039,126,34401,34401,24,11077,0.059998223853645616,0.07999246538787563,0.153396462171266,15.34%,6.0%,8.0%,Cristales laterales y de techo,1.0
2023-12-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,63342,249157,65,16962,66721,17,2816,,,,-,-,-,Cristales laterales y de techo,3.933527619
2024-02-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,66509,172878,61,18488,48058,17,4261,0.0499984212686686,0.0899658059191133,0.5132945188580311,51.33%,5.0%,9.0%,Cristales laterales y de techo,2.599313993
2024-03-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,69834,160297,69,20337,46683,20,4825,0.04999323399840616,0.1000108178277801,0.1324067605352477,13.24%,5.0%,10.0%,Cristales laterales y de techo,2.295388975
2024-05-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,73326,139315,65,22168,42118,19,5830,0.05000429590170974,0.09003294487879243,0.20813988910951164,20.81%,5.0%,9.0%,Cristales laterales y de techo,1.899936419
2024-07-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,75526,131713,53,23719,41366,16,6351,0.030003000300030003,0.06996571634788884,0.08944546945692733,8.94%,3.0%,7.0%,Cristales laterales y de techo,1.743948158
2024-10-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,75526,117464,62,26566,41318,22,7122,0.0,0.1200303554112736,0.12131017538650402,12.13%,0.0%,12.0%,Cristales laterales y de techo,1.555277207
2025-01-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,75526,108735,62,26566,38247,21,7694,0.0,0.0,0.08027884926854689,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.439699766
2025-04-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,77791,103157,61,28957,38399,22,8353,0.029989672430686065,0.09000225852593546,0.08569114339958728,8.57%,3.0%,9.0%,Cristales laterales y de techo,1.326067524
2025-08-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,77791,95490,60,28957,35545,22,9023,0.0,0.0,0.08028634569280846,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.227514843
2025-11-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,82459,95108,56,31853,36739,21,9603,0.06000694167705767,0.10001036018924614,0.06426097462835956,6.43%,6.0%,10.0%,Cristales laterales y de techo,1.153396462
2026-04-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,87407,87407,61,34401,34401,24,11077,0.06000557852993604,0.07999246538787563,0.153396462171266,15.34%,6.0%,8.0%,Cristales laterales y de techo,1.0
2023-12-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,45482,178908,47,16962,66721,17,2816,,,,-,-,-,Cristales laterales y de techo,3.933527619
2024-02-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,47757,124135,44,18488,48058,17,4261,0.0500197880480191,0.0899658059191133,0.5132945188580311,51.33%,5.0%,9.0%,Cristales laterales y de techo,2.599313993
2024-03-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,50144,115101,50,20337,46683,20,4825,0.04998220156207478,0.1000108178277801,0.1324067605352477,13.24%,5.0%,10.0%,Cristales laterales y de techo,2.295388975
2024-05-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,52652,100035,47,22168,42118,19,5830,0.05001595405232928,0.09003294487879243,0.20813988910951164,20.81%,5.0%,9.0%,Cristales laterales y de techo,1.899936419
2024-07-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,54231,94577,38,23719,41366,16,6351,0.02998936412671882,0.06996571634788884,0.08944546945692733,8.94%,3.0%,7.0%,Cristales laterales y de techo,1.743948158
2024-10-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,54231,84345,45,26566,41318,22,7122,0.0,0.1200303554112736,0.12131017538650402,12.13%,0.0%,12.0%,Cristales laterales y de techo,1.555277207
2025-01-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,54231,78077,44,26566,38247,21,7694,0.0,0.0,0.08027884926854689,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.439699766
2025-04-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,55858,74072,44,28957,38399,22,8353,0.030001290774649192,0.09000225852593546,0.08569114339958728,8.57%,3.0%,9.0%,Cristales laterales y de techo,1.326067524
2025-08-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,55858,68567,43,28957,35545,22,9023,0.0,0.0,0.08028634569280846,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.227514843
2025-11-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,59210,68292,40,31853,36739,21,9603,0.060009309320061544,0.10001036018924614,0.06426097462835956,6.43%,6.0%,10.0%,Cristales laterales y de techo,1.153396462
2026-04-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,62762,62762,44,34401,34401,24,11077,0.05998986657659189,0.07999246538787563,0.153396462171266,15.34%,6.0%,8.0%,Cristales laterales y de techo,1.0
2023-12-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,38561,151684,39,16962,66721,17,2816,,,,-,-,-,Cristales laterales y de techo,3.933527619
2024-02-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,40490,105246,37,18488,48058,17,4261,0.05002463629055254,0.0899658059191133,0.5132945188580311,51.33%,5.0%,9.0%,Cristales laterales y de techo,2.599313993
2024-03-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,42514,97587,42,20337,46683,20,4825,0.049987651271919065,0.1000108178277801,0.1324067605352477,13.24%,5.0%,10.0%,Cristales laterales y de techo,2.295388975
2024-05-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,44640,84813,39,22168,42118,19,5830,0.050007056499035585,0.09003294487879243,0.20813988910951164,20.81%,5.0%,9.0%,Cristales laterales y de techo,1.899936419
2024-07-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,45979,80185,32,23719,41366,16,6351,0.029995519713261753,0.06996571634788884,0.08944546945692733,8.94%,3.0%,7.0%,Cristales laterales y de techo,1.743948158
2024-10-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,45979,71510,38,26566,41318,22,7122,0.0,0.1200303554112736,0.12131017538650402,12.13%,0.0%,12.0%,Cristales laterales y de techo,1.555277207
2025-01-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,45979,66196,37,26566,38247,21,7694,0.0,0.0,0.08027884926854689,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.439699766
2025-04-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,47358,62801,37,28957,38399,22,8353,0.02999195284803924,0.09000225852593546,0.08569114339958728,8.57%,3.0%,9.0%,Cristales laterales y de techo,1.326067524
2025-08-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,47358,58133,36,28957,35545,22,9023,0.0,0.0,0.08028634569280846,8.03%,0.0%,0.0%,Cristales laterales y de techo,1.227514843
2025-11-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,50200,57901,34,31853,36739,21,9603,0.06001098019342033,0.10001036018924614,0.06426097462835956,6.43%,6.0%,10.0%,Cristales laterales y de techo,1.153396462
2026-04-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,53212,53212,37,34401,34401,24,11077,0.06000000000000005,0.07999246538787563,0.153396462171266,15.34%,6.0%,8.0%,Cristales laterales y de techo,1.0
2023-12-01,MITSUBISHI,CAPITAL FEDERAL,Aleta/Ventilete,54547,214566,56,16962,66721,17,2816,,,,-,-,-,Cristales laterales y de techo,3.933527619
2024-02-01,MITSUBISHI,CAPITAL FEDERAL,Aleta/Ventilete,57275,148876,52,18488,48058,17,4261,0.05001191632903734,0.0899658059191133,0.5132945188580311,51.33%,5.0%,9.0%,Cristales laterales y de techo,2.599313993
